"","yHat.sdefault","yHat.sauc1","yHat.sauc2","yHat.sauc3","yActual"
"3",0,0,0,0,1
"5",1,1,1,1,1
"8",1,1,1,1,1
"12",1,0,0,0,1
"14",1,1,1,1,1
"16",0,0,0,0,1
"19",1,1,1,1,1
"20",0,0,0,0,1
"21",0,0,0,0,1
"23",1,1,1,1,1
"25",1,1,1,1,1
"26",1,1,1,1,1
"28",1,1,1,1,1
"29",0,0,0,0,1
"30",1,1,1,1,1
"31",1,1,1,1,1
"32",1,1,1,1,1
"33",1,1,1,1,1
"34",1,1,1,1,1
"35",1,1,1,1,1
"39",1,1,1,1,1
"40",1,1,1,1,1
"41",0,0,0,0,1
"42",0,0,0,0,1
"44",1,1,1,1,1
"46",0,0,0,0,1
"49",0,0,0,0,1
"52",1,1,1,1,1
"54",0,0,0,0,1
"57",0,0,0,0,1
"59",0,0,0,0,1
"61",1,1,1,1,1
"62",1,1,1,1,1
"63",1,1,1,1,1
"64",1,1,1,1,1
"66",1,1,1,1,1
"67",0,0,0,0,1
"69",0,0,0,0,1
"71",1,1,1,1,1
"72",1,1,1,1,1
"73",1,1,1,1,1
"77",1,1,1,1,1
"81",1,1,1,1,1
"84",1,1,1,1,1
"93",1,1,1,1,1
"94",1,1,1,1,1
"95",1,1,1,1,1
"96",1,1,1,1,1
"102",1,1,1,1,1
"104",1,1,1,1,1
"106",1,1,1,1,1
"107",0,0,0,0,1
"108",1,1,1,1,1
"109",1,1,1,1,1
"110",0,0,0,0,1
"111",0,0,0,1,1
"112",0,0,0,0,1
"114",1,1,1,1,1
"116",0,0,0,0,1
"118",0,0,0,0,1
"119",1,1,1,1,1
"122",0,0,0,0,1
"123",0,0,0,0,1
"125",1,1,1,1,1
"126",0,0,0,0,1
"128",1,1,1,1,1
"129",0,0,0,0,1
"130",1,1,1,1,1
"131",0,0,0,0,1
"132",0,0,0,0,1
"133",1,1,1,1,1
"134",1,1,1,1,1
"135",1,1,1,1,1
"137",1,1,1,1,1
"140",0,0,0,0,1
"141",1,1,1,1,1
"142",0,0,0,0,1
"144",1,1,1,1,1
"146",1,1,1,1,1
"148",1,1,1,1,1
"151",1,1,1,1,1
"160",0,1,0,1,1
"161",1,1,1,1,1
"162",1,1,1,1,1
"163",0,0,0,0,1
"164",1,1,1,1,1
"165",0,0,0,0,1
"166",1,1,1,1,1
"168",1,1,1,1,1
"169",1,1,1,1,1
"172",1,1,1,1,1
"178",0,0,0,0,1
"182",0,0,0,0,1
"183",0,0,0,0,1
"184",1,1,1,1,1
"185",0,0,0,0,1
"189",1,1,1,1,1
"196",1,1,1,1,1
"198",1,1,1,1,1
"199",0,0,0,0,1
"200",1,1,1,1,1
"201",1,1,1,1,1
"205",1,1,1,1,1
"206",0,0,0,0,1
"209",1,0,0,1,1
"210",1,1,1,1,1
"211",1,1,1,1,1
"214",0,0,0,0,1
"215",1,1,1,1,1
"226",0,0,0,0,1
"228",0,0,0,0,1
"230",1,1,1,1,1
"236",1,1,1,1,1
"239",1,1,1,1,1
"240",1,1,1,1,1
"246",1,1,1,1,1
"247",0,0,0,0,1
"248",1,1,1,1,1
"252",1,1,1,1,1
"253",0,0,0,0,1
"258",0,0,0,0,1
"266",1,1,1,1,1
"268",0,0,0,0,1
"271",1,0,0,0,1
"272",1,1,1,1,1
"273",0,0,0,0,1
"275",0,0,0,0,1
"278",1,1,1,1,1
"280",1,1,1,1,1
"281",1,1,1,1,1
"282",0,0,0,0,1
"284",1,1,1,1,1
"285",0,1,1,1,1
"287",1,1,1,1,1
"288",1,1,1,1,1
"289",1,1,1,1,1
"293",1,1,1,1,1
"294",1,1,1,1,1
"295",1,1,1,1,1
"297",0,0,0,0,1
"303",1,1,1,1,1
"304",1,1,1,1,1
"311",1,1,1,1,1
"312",1,1,1,1,1
"314",0,0,0,0,1
"315",1,0,1,1,1
"318",1,0,0,0,1
"320",0,0,1,0,1
"322",1,1,1,1,1
"323",0,0,0,0,1
"325",0,0,0,0,1
"326",1,1,1,1,1
"327",1,1,1,1,1
"328",1,1,1,1,1
"330",1,1,1,1,1
"331",0,0,0,0,1
"335",1,1,1,1,1
"337",1,1,1,1,1
"340",0,0,0,0,1
"341",1,1,1,1,1
"343",1,1,1,1,1
"344",1,1,1,1,1
"346",0,1,1,1,1
"350",1,1,1,1,1
"351",1,1,1,1,1
"352",0,0,0,0,1
"354",1,1,1,1,1
"355",1,1,1,1,1
"356",1,1,1,1,1
"357",1,1,1,1,1
"361",0,0,0,0,1
"364",1,1,1,1,1
"365",1,1,1,1,1
"366",1,1,1,1,1
"368",0,0,0,0,1
