"","yHat.sdefault","yHat.sauc1","yHat.sauc2","yHat.sauc3","yActual"
"1",0,0,0,0,0
"2",0,0,0,0,0
"4",0,0,0,0,0
"6",1,1,1,1,0
"7",0,0,0,0,0
"9",0,0,1,0,0
"10",0,0,0,0,0
"11",1,1,1,1,0
"13",0,0,0,0,0
"15",0,0,0,0,0
"17",0,0,0,0,0
"18",0,0,0,0,0
"22",0,0,0,0,0
"24",0,0,0,0,0
"27",0,0,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",0,0,0,0,0
"43",0,0,0,0,0
"45",0,0,0,0,0
"47",0,0,0,0,0
"48",0,0,0,0,0
"50",0,0,0,0,0
"51",0,0,0,0,0
"53",0,0,0,0,0
"55",0,0,0,0,0
"56",0,0,0,0,0
"58",0,0,0,0,0
"60",1,1,1,1,0
"65",0,0,0,0,0
"68",0,0,0,0,0
"70",1,1,1,1,0
"74",0,0,0,0,0
"75",0,0,0,0,0
"76",0,0,0,0,0
"78",0,0,0,0,0
"79",1,1,0,1,0
"80",1,1,1,1,0
"82",0,0,0,0,0
"83",0,0,0,0,0
"85",0,0,0,0,0
"86",0,0,0,0,0
"87",0,0,0,0,0
"88",0,0,0,0,0
"89",0,1,1,1,0
"90",0,0,0,0,0
"91",0,0,0,0,0
"92",0,0,0,0,0
"97",0,0,0,0,0
"98",1,1,1,1,0
"99",0,0,0,0,0
"100",0,0,0,0,0
"101",0,0,0,0,0
"103",0,0,0,0,0
"105",0,0,0,0,0
"113",0,0,0,0,0
"115",0,0,0,0,0
"117",1,1,1,1,0
"120",1,1,1,1,0
"121",0,0,0,0,0
"124",0,0,0,0,0
"127",0,0,0,0,0
"136",0,1,1,1,0
"138",0,0,0,0,0
"139",0,0,0,0,0
"143",0,0,0,0,0
"145",1,0,1,1,0
"147",0,0,0,0,0
"149",1,1,1,1,0
"150",0,0,0,0,0
"152",1,1,1,1,0
"153",0,0,0,0,0
"154",0,0,0,0,0
"155",1,1,1,1,0
"156",1,1,1,1,0
"157",0,0,0,0,0
"158",0,0,0,0,0
"159",0,0,0,0,0
"167",0,0,0,0,0
"170",0,0,0,0,0
"171",0,0,0,0,0
"173",0,0,0,0,0
"174",0,0,0,0,0
"175",0,1,1,1,0
"176",0,0,0,0,0
"177",0,0,0,0,0
"179",1,1,1,1,0
"180",0,0,0,0,0
"181",0,0,0,0,0
"186",0,0,0,0,0
"187",0,0,0,0,0
"188",0,0,0,0,0
"190",0,0,0,0,0
"191",0,0,0,0,0
"192",0,0,0,0,0
"193",1,1,1,1,0
"194",0,0,0,0,0
"195",0,0,0,0,0
"197",0,0,0,0,0
"202",0,0,0,0,0
"203",0,0,0,0,0
"204",0,0,0,0,0
"207",1,1,1,1,0
"208",0,0,0,0,0
"212",0,0,0,0,0
"213",0,0,0,0,0
"216",0,0,0,0,0
"217",1,0,0,0,0
"218",0,0,0,0,0
"219",1,1,1,1,0
"220",1,1,1,1,0
"221",0,0,0,0,0
"222",0,0,0,0,0
"223",0,0,0,0,0
"224",0,0,0,0,0
"225",0,0,0,0,0
"227",1,1,1,1,0
"229",0,0,0,0,0
"231",0,0,0,0,0
"232",0,0,0,0,0
"233",0,0,0,0,0
"234",0,0,0,0,0
"235",0,0,0,0,0
"237",0,0,0,0,0
"238",0,0,0,0,0
"241",0,0,0,0,0
"242",0,0,0,0,0
"243",0,0,0,0,0
"244",0,0,0,0,0
"245",1,1,1,1,0
"249",0,0,0,0,0
"250",1,1,0,1,0
"251",0,0,0,0,0
"254",0,0,0,0,0
"255",0,0,0,0,0
"256",0,0,0,0,0
"257",0,0,0,0,0
"259",1,0,1,0,0
"260",0,0,0,0,0
"261",0,0,0,0,0
"262",0,0,0,0,0
"263",0,0,0,0,0
"264",0,1,0,1,0
"265",0,0,0,0,0
"267",0,0,0,0,0
"269",0,0,0,0,0
"270",0,0,0,0,0
"274",0,0,0,0,0
"276",0,0,0,0,0
"277",0,0,0,0,0
"279",0,0,0,0,0
"283",0,0,0,0,0
"286",0,0,0,0,0
"290",0,0,0,0,0
"291",0,0,0,0,0
"292",0,0,0,0,0
"296",0,0,0,0,0
"298",0,0,0,0,0
"299",0,0,0,0,0
"300",0,0,0,0,0
"301",0,0,0,0,0
"302",0,0,0,0,0
"305",1,1,1,1,0
"306",0,0,0,0,0
"307",1,1,1,1,0
"308",0,0,0,0,0
"309",0,0,0,0,0
"310",0,0,0,0,0
"313",0,0,0,0,0
"316",0,0,0,0,0
"317",0,0,0,0,0
"319",0,0,0,0,0
"321",0,0,0,0,0
"324",0,0,0,0,0
"329",0,0,0,0,0
"332",1,1,1,1,0
"333",0,0,0,0,0
"334",0,0,0,0,0
"336",0,0,0,0,0
"338",0,0,0,0,0
"339",0,0,0,0,0
"342",0,0,0,0,0
"345",0,0,0,0,0
"347",0,0,0,0,0
"348",0,0,0,0,0
"349",0,0,0,0,0
"353",0,0,0,0,0
"358",0,0,0,0,0
"359",0,0,0,0,0
"360",0,0,0,0,0
"362",0,0,0,0,0
"363",0,0,0,0,0
"367",1,1,1,1,0
"371",0,0,0,0,0
"374",0,0,0,0,0
"376",1,1,1,1,0
"377",0,1,0,1,0
"378",1,1,1,1,0
"381",0,0,0,0,0
"383",0,0,0,0,0
"385",0,0,0,0,0
"387",0,0,0,0,0
"388",0,0,0,0,0
"392",0,0,0,0,0
"393",0,0,0,0,0
"394",0,0,0,0,0
"395",1,1,1,1,0
"397",0,0,0,0,0
"398",0,0,0,0,0
"401",0,0,0,0,0
"402",0,0,0,0,0
"403",0,0,0,0,0
"404",0,0,0,0,0
"405",0,0,0,0,0
"406",0,0,0,0,0
"411",1,1,1,1,0
"412",0,0,0,0,0
"413",0,0,0,0,0
"418",0,0,0,0,0
"422",0,0,0,0,0
"423",1,1,1,1,0
"427",0,0,0,0,0
"428",0,0,0,1,0
"431",1,1,1,1,0
"432",0,0,0,0,0
"434",0,0,0,0,0
"437",0,0,0,0,0
"439",0,0,0,0,0
"441",0,0,0,0,0
"443",0,0,0,0,0
"446",1,1,1,1,0
"447",0,0,0,0,0
"449",0,0,0,0,0
"452",0,0,0,0,0
"453",0,0,0,0,0
"454",0,0,0,0,0
"456",1,0,0,0,0
"460",0,0,0,0,0
"462",0,0,0,0,0
"465",0,0,0,0,0
"466",0,0,0,0,0
"468",1,1,1,1,0
"471",0,0,0,0,0
"472",0,0,0,0,0
"473",0,0,0,0,0
"476",0,0,0,0,0
"477",1,1,1,1,0
"478",0,0,0,0,0
"479",0,0,0,0,0
"482",0,0,0,0,0
"484",1,1,1,1,0
"486",0,0,0,0,0
"489",0,0,0,0,0
"490",0,0,0,0,0
"491",0,0,0,0,0
"495",0,0,0,0,0
"499",0,0,0,0,0
"500",0,0,0,0,0
"501",0,0,0,0,0
"503",0,0,0,0,0
"507",0,0,0,0,0
"508",0,0,0,0,0
"510",0,0,0,0,0
"513",0,0,0,0,0
"515",1,1,1,1,0
"518",0,0,0,0,0
"519",1,1,1,1,0
"523",0,0,0,0,0
"524",0,0,0,0,0
"527",0,0,0,0,0
"532",0,0,0,0,0
"538",0,0,0,0,0
"540",0,0,0,0,0
"541",0,0,0,0,0
"542",0,0,0,0,0
"543",1,1,1,1,0
"544",0,0,0,0,0
"546",0,0,0,0,0
"547",0,0,0,0,0
"548",0,0,0,0,0
"549",0,0,0,0,0
"552",0,0,0,0,0
"554",0,0,0,0,0
"555",0,0,0,0,0
"558",0,0,0,0,0
"559",0,0,0,0,0
"560",0,0,0,0,0
"562",0,0,0,0,0
"563",0,0,0,0,0
"565",0,0,0,0,0
"567",0,0,0,0,0
"568",1,1,1,1,0
"570",0,0,0,0,0
"571",0,0,0,0,0
"575",0,0,0,0,0
"577",0,0,0,0,0
"578",0,0,0,0,0
"580",0,0,0,0,0
"582",0,0,0,0,0
"583",0,0,0,0,0
"584",0,0,0,0,0
"587",0,0,0,0,0
"590",0,0,0,0,0
"595",0,0,0,0,0
"597",0,0,0,0,0
"598",1,1,1,1,0
"601",0,0,0,0,0
"602",0,0,0,0,0
"603",0,0,0,0,0
"604",0,0,0,0,0
"605",0,0,0,0,0
"608",0,0,0,0,0
"611",0,0,0,0,0
"612",0,0,0,0,0
"614",1,1,1,1,0
"615",0,0,0,0,0
"616",0,1,1,1,0
"619",0,0,0,0,0
"620",0,0,0,0,0
"623",0,0,0,0,0
"624",0,0,0,0,0
"630",0,0,0,0,0
"634",0,0,1,0,0
"638",0,0,0,0,0
"640",0,0,0,0,0
"642",0,0,0,0,0
"645",0,0,0,0,0
"649",0,0,0,0,0
"654",0,0,0,0,0
"656",0,0,0,0,0
"659",0,0,0,0,0
"661",1,1,0,1,0
"662",0,0,0,0,0
"663",0,0,0,0,0
"664",0,0,0,0,0
"665",0,0,0,0,0
"667",1,0,0,1,0
"671",0,1,1,1,0
"673",0,0,0,0,0
"674",0,0,0,0,0
"675",0,0,0,0,0
"677",1,1,1,1,0
"685",0,0,0,0,0
"686",0,0,0,0,0
"688",0,0,0,0,0
"691",0,0,0,0,0
"692",0,0,0,0,0
"693",1,0,0,0,0
"697",0,0,0,0,0
"699",0,0,0,0,0
"701",0,0,0,0,0
"702",0,0,0,0,0
"703",0,0,0,0,0
"706",1,1,1,1,0
"707",0,0,0,0,0
"709",0,0,0,0,0
"711",0,0,0,0,0
"712",0,0,0,0,0
"713",0,0,0,0,0
"715",0,0,0,0,0
"717",0,0,0,0,0
"720",0,0,0,0,0
"721",0,0,0,0,0
"724",0,0,0,0,0
"727",1,1,1,1,0
"729",0,0,0,0,0
"731",0,0,0,0,0
"732",0,0,0,0,0
"734",0,0,0,0,0
"737",0,0,0,0,0
"739",0,0,0,0,0
"743",1,1,1,1,0
"744",0,0,0,0,0
"745",1,1,1,0,0
"746",0,0,0,0,0
"747",0,0,0,0,0
"748",0,0,0,0,0
"751",0,0,0,0,0
"752",0,0,0,0,0
"753",0,0,0,0,0
"754",0,0,0,0,0
"755",0,0,0,0,0
"756",0,0,0,0,0
"757",0,0,0,0,0
"758",1,1,1,1,0
"760",0,0,0,0,0
"763",0,0,0,0,0
"764",0,0,0,0,0
"772",0,0,0,0,0
"773",0,0,0,0,0
"774",0,0,0,0,0
"776",0,0,0,0,0
"782",0,0,0,0,0
"783",0,0,0,0,0
"786",0,0,0,0,0
"789",0,0,0,0,0
"790",0,0,0,0,0
"792",0,0,0,0,0
"793",0,0,0,0,0
"794",0,0,0,0,0
"799",0,0,0,0,0
"802",0,0,0,0,0
"804",0,0,0,0,0
"807",0,0,0,0,0
"808",0,0,0,0,0
"813",1,1,1,1,0
"814",1,1,1,1,0
"815",0,0,0,0,0
"817",1,1,1,1,0
"819",1,1,1,1,0
"820",0,0,0,0,0
"821",0,0,0,0,0
"822",0,0,0,0,0
"823",0,0,0,0,0
"827",0,0,0,0,0
"828",1,1,1,1,0
"830",0,0,0,0,0
"834",0,0,0,0,0
"835",0,0,0,0,0
"837",0,0,0,0,0
"839",0,0,0,0,0
"841",0,0,0,0,0
"842",0,0,0,0,0
"848",1,1,1,1,0
"851",0,0,0,0,0
"856",0,0,0,0,0
"857",0,0,0,0,0
"861",0,0,0,0,0
"862",0,0,0,0,0
"863",0,0,0,0,0
"865",0,0,0,0,0
"866",0,0,0,0,0
"867",0,0,0,0,0
"871",0,0,0,0,0
"872",0,0,0,0,0
"873",0,0,0,0,0
"874",0,0,0,0,0
"875",0,0,0,0,0
"878",0,0,0,0,0
"879",0,0,0,0,0
"882",1,1,1,1,0
"883",1,1,0,1,0
"884",0,0,0,0,0
"885",0,0,0,0,0
"887",0,0,0,0,0
"888",0,0,0,0,0
"889",0,0,0,0,0
"891",0,0,0,0,0
"893",0,0,0,0,0
"896",0,0,0,0,0
"898",0,0,0,0,0
"899",0,0,0,0,0
"902",0,0,0,0,0
"903",0,0,0,0,0
"904",0,0,0,0,0
"906",0,0,0,0,0
"907",0,0,0,0,0
"909",0,0,0,0,0
"911",0,0,0,0,0
"913",0,0,0,0,0
"914",0,0,0,0,0
"917",0,0,0,0,0
"918",0,0,0,0,0
"922",0,0,0,0,0
"923",0,0,0,0,0
"924",0,0,0,0,0
"925",0,0,0,0,0
"929",1,0,0,0,0
"930",0,0,0,0,0
"932",0,0,0,0,0
"934",0,0,0,0,0
"935",0,0,0,0,0
"936",0,0,0,0,0
"937",0,0,0,0,0
"938",0,0,0,0,0
"940",0,0,0,0,0
"941",0,0,0,0,0
"942",0,0,0,0,0
"943",0,0,0,0,0
"944",0,0,0,0,0
"946",0,0,0,0,0
"948",0,0,0,0,0
"950",0,0,1,0,0
"951",0,0,0,0,0
"952",1,1,1,1,0
"955",0,0,0,0,0
"957",0,0,0,0,0
"962",1,0,0,0,0
"966",1,1,1,1,0
"970",0,0,0,0,0
"971",0,0,0,0,0
"975",0,0,0,0,0
"977",0,0,0,0,0
"979",0,0,0,0,0
"980",0,0,0,0,0
"983",0,0,0,0,0
"987",0,0,0,0,0
"988",0,0,0,0,0
"989",0,0,0,0,0
"991",0,0,0,0,0
"992",0,0,0,0,0
"995",0,0,0,0,0
"996",0,0,0,0,0
"997",0,1,1,0,0
"999",0,0,0,0,0
"1003",0,0,0,0,0
"1006",0,0,0,0,0
"1009",0,0,0,0,0
"1010",0,0,0,0,0
"1012",0,0,0,0,0
"1019",1,1,0,1,0
"1021",0,0,0,0,0
"1023",0,0,0,0,0
"1024",0,0,0,0,0
"1029",0,0,0,0,0
"1030",1,1,1,1,0
"1035",1,1,1,1,0
"1036",0,0,0,0,0
"1039",1,0,0,0,0
"1041",0,0,0,0,0
"1046",0,0,0,0,0
"1047",0,0,0,0,0
"1049",0,0,0,0,0
"1050",1,1,1,1,0
"1051",0,0,0,0,0
"1052",0,0,0,0,0
"1053",0,0,0,0,0
"1054",1,0,0,0,0
"1055",0,0,0,0,0
"1056",0,0,0,0,0
"1058",0,0,0,0,0
"1059",0,0,0,0,0
"1061",0,0,0,0,0
"1062",0,0,0,0,0
"1063",0,0,0,0,0
"1065",0,0,0,0,0
"1066",0,0,0,0,0
"1068",1,1,1,1,0
"1069",0,0,0,0,0
"1072",0,0,0,0,0
"1075",0,0,0,0,0
"1078",0,0,0,0,0
"1080",0,0,0,0,0
"1083",0,0,0,0,0
"1084",0,0,0,0,0
"1085",0,0,0,0,0
"1086",0,0,0,0,0
"1087",0,0,0,0,0
"1089",0,0,0,0,0
"1090",0,0,0,0,0
"1095",0,0,0,0,0
"1096",0,0,0,0,0
"1097",1,1,1,1,0
"1098",0,0,0,0,0
"1099",0,0,0,0,0
"1102",1,1,0,1,0
